ID,Age,Mood,Movie_1,Movie_2,Movie_3,Movie_4,Movie_5,Movie_1_genre,Movie_2_genre,Movie_3_genre,Movie_4_genre,Movie_5_genre
46,18 +,Sad,Mary and max,five feet apart,a star is born,little women,my girl,Animation,Drama,Romance,Drama,Comedy
47,18 +,Sad,Lion,up,titanic,seven pounds,Manchester by the sea,Animation,Animation,Drama,Drama,Drama
48,18 +,Angry,8 mile,dangerous minds,gone baby gone,inception,man on fire,Drama,Drama,Mystery,Action,Action
49,18 +,Angry,Django unchained,kill bill 1,kill bill 2,falling down,fury road,Drama,Mystery,Fantasy,Crime,Action
50,18 +,Angry,John wick,old boy,the punisher,the brave one,the nightingale,Crime,Mystery,Action,Thriller,Thriller
51,18 +,Angry,V for vendetta,riders of justice,cold pursuit,Sweeney Todd,the crow,Action,Action,Thriller,Drama,Fantasy
52,18 +,Emotional,I am Sam,Marley and me,the green mile,Bambi,up,Drama,Family,Fantasy,Animation,Animation
53,18 +,Sad,Top gun,jumanji,letters to juliet,superman,doctor's strange,Action,Family,Comedy,Action,Science Fiction
54,18 +,Inspired,Probinsyano,Darna,titanic,wild wild west,Bonanza,Mystery,Fantasy,Drama,Action,Western
55,18 +,Happy,Top gun,godzilla,thor,avengers,spiderman,Action,Animation,Adventure,Science Fiction,Science Fiction
56,18 +,Happy,No Time To Die,Mission Impossible,Avengers,Harry Potter,The Hobbit,Action,Thriller,Science Fiction,Science Fiction,Science Fiction
57,18 +,Happy,The Ten Commandments,all Spiderman movies,The Avengers,Titanic,The Passion of the Christ,History,Science Fiction,Science Fiction,Drama,Drama
58,18 +,Inspired,Stranger than fiction,the secret life of walter mitty,the wedding singer,shawshank redemption,memoirs of a geisha,Comedy,Adventure,Comedy,Drama,Drama
59,18 +,Happy,Top Gun,Superman,Spider-Man,Rocky,Armageddon,Action,Action,Fantasy,Drama,Action
60,18 +,Romantic,Love actually,chocolate,hating game,under the Tuscan sun,the breakup,Comedy,Romance,Comedy,Comedy,Comedy
61,18 +,Romantic,Love Rosie,about time,Bridget jones 1,Bridget jones 2,one day,Romance,Comedy,Comedy,Comedy,Drama
62,18 +,Romantic,A year ago,about a boy,last Christmas,Emma,miss potter,Mystery,Drama,Romance,Romance,Drama
63,18 +,Thrilled,Deep water,run,pray,let him go,the little things,Thriller,Horror,Science Fiction,Thriller,Crime
64,18 +,Thrilled,The grey man,nobody,boiling point,the snowman,red sparrow,Action,Thriller,Thriller,Crime,Action
65,18 +,Inspired,Ratatouille,Mona,inside out,Milan,up,Animation,Family,Drama,Family,Animation
66,18 +,Emotional,Spencer,the goldfinch,men,the fallout,the guardian,Drama,Drama,Horror,Drama,Science Fiction
67,18 +,Emotional,The shack,remember me,babel,life itself,the goldfinch,Fantasy,Drama,Drama,Drama,Drama
68,18 +,Emotional,Macbeth,snow angels,miss Julie,hamlet,the wait,Horror,Drama,Drama,Drama,Drama
69,18 +,Angry,Angry birds 1,angry birds 2,up,inside out,lion king,Animation,Family,Animation,Drama,Family
70,18 +,Thrilled/Excited,The hunt for the wilder people,Shaun the sheep,Wallace and Gromit,karate kid,whale rider,Adventure,Animation,Animation,Family,Drama
71,under 18,Emotional,The little prince,karate kid,October sky,lion king,jumanji,Adventure,Drama,Drama,Family,Family
72,under 18,Romantic,About a boy,midnight in Paris,about time,a star is born,safe haven,Drama,Fantasy,Comedy,Romance,Romance
73,under 18,Thrilled/Excited,Die hard,red,die Hard 2,Rocky,the goldfinch,Action,Action,Action,Drama,Drama
74,18 +,Thrilled/Excited,Batman,iron man,Django unchained,inglorious bastards,Jojo rabbit,Fantasy,Action,Drama,War,War
75,18 +,Sad,Selena,the pursuit of happiness,forest Gump,other people,inside out,Drama,Fantasy,Adventure,Comedy,Drama
76,18 +,Sad,Moonlight,Sophie’s choice,my girl,sound of metal,our friend,Drama,Drama,Comedy,Drama,Drama
77,18 +,Sad,One day,to the bone,brokeback mountain,stepmom,the last song,Drama,Drama,Drama,Drama,Drama
78,18 +,Sad,A star is born,the last song,soul surfer,the colour purple,titanic,Romance,Drama,Action,Romance,Drama
79,18 +,Sad,Beaches,Marley and me,a star is borne,brokeback mountain,titanic,Drama,Comedy,Romance,Drama,Drama
80,18 +,Romantic,Emma,Jane eyre,vanity fair,message in a bottle,titanic,Romance,Romance,Drama,Romance,Drama
81,18 +,Romantic,Becoming Jane,Romeo and Juliet,four weddings and a funeral,far and away,,Drama,Romance,Comedy,Romance,
82,18 +,Romantic,Notting hill,Bridget jones 1,Bridget jones 2,about a boy,about time,Romance,Romance,Romance,Drama,Comedy
83,18 +,Romantic,Pocchahontas,101 Dalmatia,Mulan,Cinderella,Snow White,Family,Family,Animation,Romance,Family
84,18 +,Inspired,The imitation game,good will hunting,pursuit of happiness,freedom writer,erin brockowich,History,Drama,Adventure,Drama,Romance
85,under 18,Inspired,Bucket list,wild,Mitty,imitation game,cast away,Adventure,Drama,Adventure,War,Adventure
86,18 +,Inspired,Five feet apart,Erin brockovich,million dollar baby,Gandhi,selma,Drama,Drama,Drama,Drama,History
87,18 +,Inspired,Coach carter,the kings speech,the pianist,good will hunting,Eddie the eagle,Drama,History,Drama,Drama,Comedy
88,18 +,Inspired,Breaveheart,Lincoln,catch me if you can,Julie and Julia,life is beautiful,War,History,Drama,Fantasy,Drama
89,18 +,Sad,Room,the notebook,love story,hear on earth,Shakespeare in love,Drama,Romance,Romance,Romance,Romance
90,18 +,Sad,Beautiful boy,seven pounds,carol,ghost,dirty dancing,Drama,Drama,Romance,Fantasy,Romance
91,18 +,Angry,Gone baby gone,rrr,upgrade,John wick,falling down,Mystery,Action,Science Fiction,Crime,Crime
92,18 +,Angry,12 angry men,sweet November,the hunt,John wick,upgrade,Drama,Drama,Drama,Crime,Science Fiction
93,18 +,Emotional,The keeper,Everest,the summit,Macbeth,the gallows,Family,Adventure,Thriller,Horror,Horror
94,18 +,Emotional,Premonition,collateral beauty,aftermath,remember me,the goldfinch,Thriller,Drama,Drama,Drama,Drama
95,18 +,Emotional,Dear John,about time,rabbit hole,Jojo rabbit,wildctales,Drama,Comedy,Drama,War,Drama
96,18 +,Emotional,Love happens,the goldfinch,aftermath,remember me,premonition,Drama,Drama,Drama,Drama,Thriller
97,18 +,Emotional,The lake house,wonder wheel,love happened,about time,the queen,Romance,Drama,Romance,Comedy,Drama
98,18 +,Romantic,Chocolate,about time,a star is born,cool runnings,music and lyrics,Fantasy,Comedy,Romance,Comedy,Comedy
