Mood,Movie,Genre
Happy,Toy Story 2,Animation
Angry,Hercules,Action
Romantic,Love Actually,Comedy
Sad,Journey to the Center of the Earth,Action
Romantic,Serendipity,Comedy
Inspired,Toy Story 2,Animation
Thrilled,Men in Black,Action
Angry,Man on Fire,Action
Angry,The Crow,Fantasy
Emotional,Up,Animation
Happy,The Passion of the Christ,Drama
Inspired,Memoirs of a Geisha,Drama
Happy,Armageddon,Action
Romantic,One Day,Drama
Inspired,Up,Animation
Thrilled/Excited,Whale Rider,Drama
Romantic,Safe Haven,Romance
Sad,Inside Out,Drama
Sad,Titanic,Drama
Sad,Titanic,Drama
Romantic,Titanic,Drama
Inspired,Cast Away,Adventure
Inspired,Selma,History
Inspired,Eddie the Eagle,Comedy
Sad,Shakespeare in Love,Romance
Emotional,The Gallows,Horror
Emotional,Premonition,Thriller
Emotional,The Queen,Drama
Romantic,Music and Lyrics,Comedy
