,production_companies,release_year,revenue
736,Lawrence Bender Productions,2005,10166502
737,Twentieth Century Fox Film Corporation,2016,783112979
738,Village Roadshow Pictures,2014,542307423
739,Columbia Pictures,2015,158162788
740,DreamWorks SKG,2005,102854431
741,Universal Pictures,2000,59468275
742,TriStar Pictures,1988,189015611
743,Universal Pictures,2008,41299492
744,Columbia Pictures,2009,85280250
745,Twentieth Century Fox Film Corporation,2013,44000000
746,Impact Pictures,2010,300228084
747,Lucasfilm,2012,50365377
748,Regency Enterprises,1997,152944660
749,Columbia Pictures,2012,58058367
750,Universal Pictures,1996,115267375
751,New Line Cinema,2004,61347797
752,Columbia Pictures,2011,149217355
753,Miramax Films,2001,62112895
754,Walt Disney Pictures,2005,113006880
755,MetroGoldwynMayer (MGM),2004,57223890
756,Paramount Pictures,1994,677945399
757,Dune Entertainment,2007,361366633
758,DreamWorks SKG,2000,330444045
759,Walt Disney Pictures,1995,346079773
760,Warner Bros.,1978,300218018
761,Imagine Entertainment,1996,128769345
762,Columbia Pictures Corporation,2005,368100420
763,Universal Pictures,2003,231449203
764,Columbia Pictures,2013,95000000
765,Twentieth Century Fox Film Corporation,2010,152263880
766,Universal Pictures,1995,287928194
767,Columbia Pictures,2014,192330738
768,Red Om Films,2002,154906693
769,Hollywood Pictures,1995,157387195
770,Columbia Pictures Corporation,2006,307077295
771,Imagine Entertainment,2005,223387299
772,Warner Bros.,1994,214015089
773,Atlas Entertainment,1998,198685114
774,Miramax Films,2003,180949000
775,Miramax Films,2004,152159461
776,Warner Bros.,1989,63408614
777,Universal Pictures,1992,149022650
778,Spyglass Entertainment,2000,56932305
779,Silver Pictures,1996,121969216
780,Twentieth Century Fox Film Corporation,2011,187361754
781,Casey Silver Productions,2008,127906624
782,Reel FX Creative Studios,2013,110000000
783,Twentieth Century Fox Film Corporation,1992,159773545
784,Hollywood Pictures,1996,141047179
785,United Artists,1998,41610884
786,Constellation Films,1996,75000000
787,The Weinstein Company,2014,259207227
788,Ingenious Film Partners,2012,68267862
789,Lakeshore Entertainment,2003,34234008
790,Twentieth Century Fox Film Corporation,2003,33828318
791,Columbia Pictures,2012,118338361
792,Imagine Entertainment,2008,113020255
793,Twentieth Century Fox Film Corporation,1996,60209334
794,TriStar Pictures,1996,18626419
795,Odyssey Entertainment,2004,154648887
796,Universal Pictures,2007,74237563
797,Paramount Pictures,2005,52304001
798,Warner Bros. Pictures,2003,12923936
799,MetroGoldwynMayer (MGM),1997,11466088
800,Buena Vista,2014,80383290
801,Studio Canal,2004,28283637
802,Bedford Falls Productions,2010,89519773
803,Seven Arts Productions,1962,9250000
804,Universal Pictures,2002,6416302
805,New Line Cinema,2002,155010032
806,Columbia Pictures,2008,168167691
807,Dark Castle Entertainment,2013,9489829
808,Paramount Pictures,1990,136766062
809,Paramount Pictures,2005,52034889
810,Universal Pictures,2006,130431368
811,Warner Bros.,1980,190458706
812,City Light Films,2003,7266209
813,Columbia Pictures Corporation,2006,9450897
814,Paramount Pictures,2000,107196498
815,Twentieth Century Fox Film Corporation,1997,139804348
816,Bazmark Films,2001,179213434
817,Paramount Pictures,2001,54249294
818,Infinitum Nihil,2015,98837872
819,DreamWorks SKG,2006,65900249
820,Film Department,2009,126690726
821,Big Talk Productions,2007,25037897
822,Kemp Company,2002,352114312
823,Columbia Pictures,2012,132820716
824,Universal Pictures,2006,204999686
825,Universal Pictures,2008,609841637
826,New Line Cinema,2010,216485654
827,Village Roadshow Pictures,2005,110803676
828,Fox 2000 Pictures,1998,98126565
829,Universal Pictures,2011,75450437
830,Mutual Film Company,1999,47434430
831,Universal Pictures,1995,116112375
832,Apipoula,2010,52826594
833,Twentieth Century Fox Film Corporation,2000,149270999
834,Paramount Pictures,2006,72779000
835,Summit Entertainment,2009,709827462
836,DreamWorks SKG,2001,484409218
837,Universal Pictures,2011,127869379
838,Warner Bros.,1991,390493908
839,Gracie Films,1996,273552592
840,Universal Pictures,2012,549368315
841,Gracie Films,1997,314178011
842,Universal Pictures,1998,202292902
843,Paramount Pictures,2013,173649015
844,New Line Cinema,2002,171269535
845,Paramount Pictures,2011,260095987
846,Jersey Films,2000,256271286
847,Paramount Pictures,2003,177371441
848,Columbia Pictures,2014,188441614
849,Geffen Pictures,1994,223664608
850,Village Roadshow Pictures,2008,225990978
851,New Line Cinema,2016,216972543
852,Paramount Pictures,2015,242786137
853,Walt Disney Pictures,2014,212902372
854,Imagine Entertainment,2006,184376254
855,Paramount Pictures,1999,161626121
856,Paramount Pictures,1995,152022101
857,Twentieth Century Fox Film Corporation,2011,120081841
858,Summit Entertainment,2009,155446362
859,Paramount Pictures,2006,88715192
860,DreamWorks,2005,161451538
861,Warner Bros.,2011,142851197
862,Twentieth Century Fox Film Corporation,2004,200804534
863,Columbia Pictures,2011,110206216
864,Kopelson Entertainment,1995,189859560
865,StudioCanal,2014,222809600
866,Walt Disney Pictures,2009,106303988
867,Studio Babelsberg,2006,132511035
868,Spyglass Entertainment,2003,88323487
869,Imagine Entertainment,2006,69834815
870,Walt Disney Pictures,2005,66002004
871,Village Roadshow Pictures,2001,100020092
872,Paramount Pictures,2013,224803475
873,Regency Enterprises,2002,119137784
874,DreamWorks SKG,2011,144492830
875,Section Eight,2005,94000000
876,Paramount Pictures,2016,69411370
877,Twentieth Century Fox Film Corporation,2014,97437106
878,Village Roadshow Pictures,2006,82800000
879,Columbia Pictures,1997,50068310
880,Caravan Pictures,1997,48169156
881,PolyGram Filmed Entertainment,1997,109423648
882,Silent Hill DCP Inc.,2006,97607453
883,Universal Pictures,2012,234989584
884,Regency Enterprises,1998,44547681
885,New Line Cinema,2014,160602194
886,Paramount Pictures,1994,119208989
887,Amblin Entertainment,1990,41482207
888,Village Roadshow Pictures,2014,83719388
889,Impact Pictures,2004,129394835
890,Miramax Films,2004,40203020
891,Original Film,2003,55495563
892,Warner Bros.,1994,49000000
893,Troublemaker Studios,2005,69425966
894,Figment Films,2000,144056873
895,Touchstone Pictures,2004,49718611
896,Studio Babelsberg,2009,60462347
897,Columbia Pictures,1996,113309743
898,Twentieth Century Fox Film Corporation,2010,83761844
899,Amblin Entertainment,2010,105197635
900,Castle Rock Entertainment,2002,56714147
901,Silver Pictures,1995,30303072
902,Ingenious Film Partners,2007,82169884
903,Universal Pictures,1999,58900031
904,Nick Wechsler Productions,2013,63327201
905,Intermedia Films,2003,42792561
906,Malpaso Productions,2002,26199517
907,Studio Babelsberg,2009,60161391
908,Paramount Pictures,1996,42277365
909,Warner Bros. Animation,1999,23159305
910,Touchstone Pictures,2004,34808403
911,Larger Than Life Productions,2016,25035950
912,Mikona Productions GmbH & Co. KG,2003,38955598
913,Vertigo Entertainment,2015,71561644
914,BBC Films,2007,55112356
915,Columbia Pictures Corporation,2005,44434439
916,Universal Pictures,2011,26121638
917,Cliffjack Motion Pictures,2011,38502340
918,Warner Bros.,1997,10541523
919,Twentieth Century Fox Film Corporation,1994,16671505
920,Hollywood Pictures,1995,10382407
921,River Road Entertainment,2010,24188922
922,New Line Cinema,2005,22944502
923,Paramount Pictures,1995,9851610
924,Lakeshore Entertainment,2009,40828540
925,Alcon Entertainment,2013,60052138
926,Scott Rudin Productions,2016,55969000
927,ShangriLa Entertainment,2004,6808550
928,Summit Entertainment,2011,28931401
929,Twentieth Century Fox Film Corporation,2009,12764201
930,Columbia Pictures,2001,72700000
931,Twentieth Century Fox Film Corporation,1990,20423389
932,Universal Pictures,2009,36348784
933,USA Films,2000,207515725
934,Lucasfilm,1989,474171806
935,Columbia Pictures,2015,104399548
936,Universal Pictures,1999,151493655
937,HofflundPolone,2002,196397415
938,Village Roadshow Pictures,1999,108000000
939,Summit Entertainment,2015,3324330
940,Paramount Pictures,2001,85498534
941,Intermedia Films,2001,50315140
942,Twentieth Century Fox Film Corporation,2000,90383208
943,Orion Pictures,1984,25928721
944,Tree Line Films,2007,70016220
945,Twentieth Century Fox Film Corporation,2014,325771424
946,Universal Pictures,1998,77745568
947,Columbia Pictures Corporation,1996,102825796
948,Touchstone Pictures,1990,103738726
949,Irish Dreamtime,1999,124305181
950,Columbia Pictures,2001,35743308
951,Orion Pictures,1982,125212904
952,Vanguard Films,2006,38085778
953,TriStar Pictures,1996,12379402
954,TriStar Pictures,1997,299288605
955,Section Eight,2002,113714830
956,Paramount Pictures,1996,150000000
957,Warner Bros.,2010,10539000
958,Fox 2000 Pictures,1996,100860818
959,Imagine Entertainment,1997,181000000
960,Good Films,2016,15436808
961,MetroGoldwynMayer (MGM),1981,5200000
962,Universal Pictures,1994,341631208
963,Twentieth Century Fox Film Corporation,2012,376141306
964,Dimension Films,2003,220673217
965,Village Roadshow Pictures,2000,212000000
966,New Line Cinema,2008,101702060
967,Walt Disney Pictures,2004,95149435
968,Warner Bros.,1993,195268056
969,Regency Enterprises,1994,117615211
970,Two Ton Films,2007,175372502
971,Paramount Pictures,1992,178051587
972,New Line Cinema,2005,154749918
973,Alcon Entertainment,2013,122126687
974,Village Roadshow Pictures,2001,104876233
975,DreamWorks SKG,1999,90683916
976,GoldMiller Productions,2001,141220678
977,Walt Disney Pictures,2011,165184237
978,New Line Cinema,1998,131183530
979,Paramount Pictures,2005,76669806
980,Paramount Pictures,2002,94935764
981,Columbia Pictures Corporation,1997,136885767
982,Jerry Bruckheimer Films,2000,113916474
983,Universal Pictures,2003,244931766
984,Walt Disney Pictures,1998,363258859
985,Twentieth Century Fox Film Corporation,2001,74558115
986,Jerry Weintraub Productions,1994,170362582
987,Regency Enterprises,1996,53854588
988,Universal Pictures,2005,56070433
989,Spyglass Entertainment,2005,104478416
990,Impact Pictures,2007,148412065
991,Happy Madison Productions,2014,123494610
992,Paramount Pictures,2006,38399961
993,Ixtlan,2012,82966152
994,New Line Cinema,2004,56422687
995,Universal Pictures,2003,160583018
996,Playtone,2006,55181129
997,Dino De Laurentiis Company,1984,30925690
998,DreamWorks SKG,2008,75225693
999,Donners' Company,2006,65664721
1000,StudioCanal,2008,72108608
1001,Twentieth Century Fox Film Corporation,2009,57881056
1002,Epsilon Motion Pictures,2001,29400000
1003,Sony Pictures,2005,38058335
1004,Paramount Pictures,1996,17300889
1005,Hollywood Pictures,1995,13681765
1006,Studio Babelsberg,2010,60222298
1007,Hollywood Pictures,1998,11203026
1008,Rai Cinema,2008,9323833
1009,Virtual Studios,2008,42487390
1010,Touchstone Pictures,2002,8493890
1011,New Line Cinema,2007,4607608
1012,Hollywood Pictures,1997,2154540
1013,Universal Pictures,2011,160078586
1014,Threshold Entertainment,2012,73706
1015,GK Films,2012,232324128
1016,Warner Bros.,1993,368875760
1017,Columbia Pictures,2010,136000000
1018,Propaganda Films,1996,165615285
1019,TriStar Pictures,1985,300400432
1020,RKO Radio Pictures,1940,84300000
1021,United Artists,1980,3484331
1022,Lakeshore Entertainment,2006,111340801
1023,Twentieth Century Fox Film Corporation,2015,34227298
1024,Fountainbridge Films,2000,80049764
1025,Canal Plus,2005,50871113
1026,Konrad Pictures,2002,68696770
1027,Paramount Pictures,1993,270248367
1028,Universal Pictures,2010,48190704
1029,CBS Films,2011,51070807
1030,Columbia Pictures,2012,201585328
1031,Bookshop Productions,1999,363889678
1032,DreamWorks SKG,2000,224834564
1033,Jersey Films,2004,171963386
1034,Paramount Pictures,1992,70100000
1035,Ingenious Film Partners,2013,158674180
1036,Twentieth Century Fox Film Corporation,1963,71000000
1037,Twentieth Century Fox Film Corporation,2002,63781810
1038,Lakeshore Entertainment,2002,55157539
1039,Eon Productions,1989,156167015
1040,Appian Way,2011,89162162
1041,New Line Cinema,2001,56359980
1042,Hollywood Pictures,1993,20915465
1043,Saturn Films,2005,24127895
1044,Lakeshore Entertainment,2012,36893721
1045,Columbia Pictures,2014,12342632
1046,Boram Entertainment Inc.,2010,11087569
1047,Imagine Entertainment,2002,215000000
1048,Columbia Pictures Corporation,2001,117487473
1049,Spyglass Entertainment,1999,672806292
1050,Summit Entertainment,2012,46221189
1051,Ingenious Media,2011,7448385
1052,Columbia Pictures Corporation,1984,90815558
1053,Columbia Pictures,2013,251171807
1054,Touchstone Pictures,2009,317375031
1055,Paramount Pictures,1999,177841558
1056,Universal Pictures,1989,332000000
1057,Universal Pictures,2014,126546825
1058,Focus Features,2015,571006128
1059,Dimension Films,2003,197011982
1060,Regency Enterprises,1996,152266007
1061,Twentieth Century Fox Film Corporation,2003,190212113
1062,Universal Pictures,2013,149295601
1063,Columbia Pictures Corporation,1992,107458785
1064,New Line Cinema,2016,320170008
1065,Columbia Pictures,2010,224920315
1066,New Line Cinema,2009,177259441
1067,Dimension Films,2006,178262620
1068,Konrad Pictures,2000,161834276
1069,Universal Pictures,1990,244527583
1070,Gary Sanchez Productions,2015,111811453
1071,American Zoetrope,1992,215862692
1072,Columbia Pictures,2009,129540499
1073,Warner Bros.,2013,95020213
1074,Paramount Pictures,1999,128798265
1075,New Line Cinema,2014,169837010
1076,Walt Disney Pictures,2006,120455994
1077,Waverly Films,2015,194564672
1078,Universal Pictures,2016,124827316
1079,Morgan Creek Productions,1992,75505856
1080,Universal Pictures,2004,124731534
1081,Dimension Films,2005,158733820
1082,Columbia Pictures,2008,151161491
1083,The Montecito Picture Company,2009,91636986
1084,Twentieth Century Fox Film Corporation,2001,141069860
1085,Camelot Productions,1991,205405498
1086,Twentieth Century Fox Film Corporation,2006,138259062
1087,DreamWorks SKG,2001,147845033
1088,New Line Cinema,2009,136267476
1089,Twentieth Century Fox Film Corporation,2014,196781193
1090,New Line Cinema,2009,186167139
1091,DreamWorks SKG,2015,165478348
1092,Twentieth Century Fox Film Corporation,2001,91753202
1093,Universal Pictures,2010,90029656
1094,Miramax Films,2004,170128460
1095,Universal Pictures,1998,54682547
1096,New Line Cinema,1997,87840042
1097,Spyglass Entertainment,2002,75395048
1098,Lakeshore Entertainment,2011,85412898
1099,Studio Babelsberg,2011,130786397
1100,Warner Bros.,2006,109676311
1101,New Line Cinema,2014,107670357
1102,Rainmaker Entertainment,2013,74597643
1103,Icon Productions,2006,120175290
1104,United Artists,1987,191185897
1105,Twentieth Century Fox Film Corporation,2010,126248813
1106,Columbia Pictures Corporation,2004,92913171
1107,Village Roadshow Pictures,2006,114830111
1108,Universal Pictures,2005,91974818
1109,Columbia Pictures,2008,84601681
1110,Warner Bros.,2014,67347013
1111,Paramount Pictures,1997,45916769
1112,Columbia Pictures Corporation,2003,141591324
1113,DreamWorks SKG,1997,74000000
1114,Twentieth Century Fox Film Corporation,2007,41797066
1115,Village Roadshow Pictures,2007,145896422
1116,Universal Pictures,2011,97552050
1117,Paramount Pictures,2012,41863726
1118,Dimension Films,2011,97138686
1119,Columbia Pictures Corporation,1999,96618699
1120,Imagine Entertainment,1991,34416893
1121,Escape Artists,2014,126069509
1122,Laurence Mark Productions,2000,36037909
1123,New Line Cinema,2011,157887643
1124,Bel Air Entertainment,2000,55707411
1125,Fox 2000 Pictures,2005,50451307
1126,Universal Pictures,1994,48063435
1127,Paramount Pictures,2011,55247881
1128,Bad Robot,2010,58785180
1129,Paramount Pictures,2005,46442528
1130,Amen Ra Films,2000,30199105
1131,Columbia Pictures,2005,31670620
1132,Paramount Pictures,1999,29000000
1133,New Line Cinema,1996,49627779
1134,Crystal Sky Worldwide,2001,27053815
1135,Bel Air Entertainment,2001,65754228
1136,Village Roadshow Pictures,2007,62771059
1137,Scorsese Productions,1973,3000000
1138,Cinergi Pictures Entertainment,1994,24332324
1139,TF1 Films Production,2011,60965854
1140,Warner Bros.,1998,38172500
1141,Warner Bros. Pictures,2002,22433915
1142,Village Roadshow Pictures,2004,46546197
1143,United Artists,1995,20350754
1144,American Zoetrope,2006,60474340
1145,Franchise Pictures,2000,19412993
1146,Summit Entertainment,2012,180274123
1147,Columbia Pictures,1987,14375181
1148,Twentieth Century Fox Film Corporation,2009,46471023
1149,Regency Enterprises,2002,16872671
1150,Regency Enterprises,1992,14358033
1151,Paramount Pictures,2004,13395939
1152,Universal Pictures,2012,24719215
1153,Columbia Pictures Corporation,1999,28121100
1154,Milagro Films,2002,18902015
1155,Universal Pictures,2009,28169671
1156,Miramax Films,2003,19322135
1157,TriStar Pictures,1999,10667893
1158,Impact Pictures,2009,20645327
1159,Paramount Pictures,2002,10959475
1160,DNA Films,2007,32017803
1161,Paramount Pictures,2012,22044277
1162,StudioCanal,2015,13644292
1163,Isle of Man Film,2006,23937870
1164,Paramount Pictures,2007,117760134
1165,United Artists,1995,7563728
1166,Miramax Films,1994,94000000
1167,New Line Cinema,2009,101229792
1168,Tim Burton Productions,2012,35287788
1169,Universal Pictures,2005,38869464
1170,Paramount Pictures,2004,6614280
1171,Warner Bros.,1983,75850624
1172,Gerber Pictures,2013,44907260
1173,Touchstone Pictures,2002,180622424
1174,Lakeshore Entertainment,2009,205298907
1175,Dimension Films,2002,119723358
1176,Paramount Pictures,1994,120000000
1177,Ingenious Media,2011,114156230
1178,Universal Pictures,1999,73956241
1179,Winkler Films,2002,51801187
1180,Columbia Pictures,2015,107597242
1181,Epsilon Motion Pictures,2001,29700000
1182,Bac Films,1999,58401898
1183,Columbia Pictures,1996,17380126
1184,Bel Air Entertainment,2001,16991902
1185,Smokewood Entertainment Group,2009,47536959
1186,Hollywood Pictures,1996,10300000
1187,Universal Pictures,1982,19629760
1188,One Race Productions,2013,98337295
1189,Paramount Pictures,1997,6482195
1190,Playtone,2008,17869048
1191,Ghoulardi Film Company,2012,28258060
1192,Ingenious Film Partners,2007,5410749
1193,Davis Entertainment,2008,9793496
1194,Columbia Pictures,2016,109906372
1195,New Line Cinema,2015,173567581
1196,Legendary Pictures,2010,154026136
1197,Alcon Entertainment,2012,79700000
1198,Mike Zoss Productions,2008,163720069
1199,Walden Media,2008,100076342
1200,Revolution Films,2013,90247624
1201,New Line Cinema,1999,48451803
1202,Warner Bros.,2010,55583804
1203,New Line Cinema,2016,112343513
1204,Alcon Entertainment,2011,95404397
1205,Summit Entertainment,2008,392616625
1206,New Line Cinema,2002,102244770
1207,Columbia Pictures,1999,117758500
1208,New Line Cinema,2013,269994119
1209,Paramount Pictures,1997,50159144
1210,PSO International,1983,160000000
1211,United Artists,2010,64572262
1212,Alcon Entertainment,2014,52424533
1213,Dimension Films,2000,32168970
1214,New Line Cinema,2003,44350926
1215,Scott Rudin Productions,2015,26250020
1216,New Line Cinema,2011,96047633
1217,Columbia Pictures,1997,12532777
1218,Starz Media,2008,63800345
1219,Legendary Pictures,2009,459270619
1220,New Line Cinema,1999,310940086
1221,PolyGram Filmed Entertainment,1989,411348924
1222,Silver Pictures,1992,321731527
1223,Alcon Entertainment,2009,309208309
1224,Dimension Films,2001,147934180
1225,New Line Cinema,2011,117000000
1226,Paramount Pictures,2010,252276927
1227,Twentieth Century Fox Film Corporation,2006,326551094
1228,Paramount Pictures,1979,139000000
1229,Stuber Productions,2013,173965010
1230,Universal Pictures,1991,182300000
1231,Columbia Pictures,2008,69823199
1232,Universal Pictures,2015,140795793
1233,Columbia Pictures,2005,68915888
1234,Miramax Films,1996,231976425
1235,Regency Enterprises,1997,126216940
1236,Walt Disney Pictures,2005,86369815
1237,MetroGoldwynMayer (MGM),1995,113374103
1238,New Line Cinema,1984,25504513
1239,New Line Cinema,2000,104155843
1240,Walt Disney Pictures,2010,60251371
1241,The Weinstein Company,2007,95608995
1242,Revolution Studios,2003,52277485
1243,Castle Rock Entertainment,2011,150483765
1244,Universal Pictures,2016,108758521
1245,Walt Disney Pictures,2013,112544580
1246,JVC Entertainment,1992,48169908
1247,Apatow Productions,2012,88058786
1248,Walt Disney Pictures,2009,92219310
1249,Lakeshore Entertainment,2009,91353501
1250,Village Roadshow Pictures,2007,69307224
1251,Team Todd,2005,58405313
1252,TriStar Pictures,1997,41954997
1253,Impact Pictures,2002,102984862
1254,SLM Production Group,1982,122200000
1255,Dune Entertainment,2008,85416905
1256,Regency Enterprises,2011,173930596
1257,Escape Artists,2010,77477008
1258,Alcon Entertainment,2011,59901913
1259,Paramount Pictures,1976,35323292
1260,Universal Pictures,1994,99423521
1261,Bac Films,2002,120072577
1262,Village Roadshow Pictures,2005,68766121
1263,Columbia Pictures,2004,115505027
1264,Imagine Entertainment,2011,84606030
1265,Regency Enterprises,2008,72436439
1266,Village Roadshow Pictures,2002,45479110
1267,Twentieth Century Fox Film Corporation,1990,57120318
1268,Lakeshore Entertainment,2008,32483410
1269,New Line Cinema,1999,40263020
1270,Dino De Laurentiis Company,1980,27107960
1271,Miramax Films,2004,36098382
1272,Summit Entertainment,2012,30353232
1273,Warner Bros.,1997,25105255
1274,EmmettFurla Films,2015,4100000
1275,Universal Pictures,2010,93246388
1276,Twentieth Century Fox Film Corporation,2008,68369434
1277,World 2000 Entertainment,2004,27388767
1278,Columbia Pictures,2015,50363790
1279,Lions Gate Films,2011,82087155
1280,Vanguard Films,2005,19478106
1281,Dimension Films,2008,25871834
1282,Regency Enterprises,2013,19701164
1283,CravenMaddalena Films,2005,19294901
1284,Pariah Entertainment Group,2012,31083599
1285,New Line Cinema,2015,51680201
1286,Paramount Pictures,2002,29882645
1287,SND,2013,46216641
1288,Universal Pictures,2004,41512007
1289,Summit Entertainment,2010,39340177
1290,Columbia Pictures Corporation,1983,16519460
1291,CruiseWagner Productions,2007,63215872
1292,Columbia Pictures Corporation,2007,18317151
1293,Morgan Creek Productions,2001,13678913
1294,GK Films,2009,27409889
1295,StudioCanal,2009,12206028
1296,Fox Searchlight Pictures,2011,54674226
1297,Open Road Films,2014,17508518
1298,Twentieth Century Fox Film Corporation,2003,11560806
1299,Lionsgate,2008,10089373
1300,Columbia Pictures,2006,12506188
1301,TriStar Pictures,2015,61181942
1302,Fox 2000 Pictures,2006,42064105
1303,Columbia Pictures,1992,4651977
1304,Epsilon Motion Pictures,2002,16838910
1305,France 2 Cinma,1995,15000000
1306,Universal Pictures,1999,635096
1307,Ingenious Media,2014,348319861
1308,Studio Babelsberg,2015,14431253
1309,Columbia Pictures,1993,32255440
1310,Regency Enterprises,2006,15304890
1311,Warner Bros.,1999,11263966
1312,Saturn Films,2012,2106557
1313,Fox 2000 Pictures,2015,63013281
1314,New Line Cinema,1999,19598588
1315,Distant Horizons,2013,27330000
1316,Barclays Mercantile Industrial Finance,1981,40382659
1317,David Brown Productions,1992,243240178
1318,Village Roadshow Pictures,2001,79958599
1319,Twentieth Century Fox Film Corporation,2000,173959438
1320,Summit Entertainment,2011,64626786
1321,Summit Entertainment,2012,140470746
1322,New Line Cinema,2006,62022014
1323,Lions Gate Films,2004,54700105
1324,Touchstone Pictures,2005,27610873
1325,Lawrence Bender Productions,2012,40346186
1326,Lucasfilm,1983,572700000
1327,Rogue Pictures,2008,22211426
1328,Studio Babelsberg,2008,113019290
1329,Relativity Media,2012,24159934
1330,New Line Cinema,2003,173398518
1331,Touchstone Pictures,1996,152036382
1332,Paramount Pictures,2006,80197993
1333,Universal Pictures,2011,288383523
1334,Columbia Pictures,2013,126041322
1335,FGM Entertainment,1999,50041732
1336,Fox 2000 Pictures,2000,48814909
1337,Rainforest Films,2010,69055695
1338,Millenium Films,2013,21819348
1339,Twentieth Century Fox Film Corporation,2011,83615414
1340,The Mark Gordon Company,2011,147332697
1341,Paramount Pictures,1993,36733909
1342,New Line Cinema,2007,77566815
1343,Epithte Films,2013,9494789
1344,Columbia Pictures,1979,31755742
1345,New Line Cinema,2005,60740827
1346,Canal Plus,2005,85167639
1347,TriStar Pictures,1995,18552460
1348,New Line Cinema,2004,30016165
1349,Universal Pictures,2010,18409891
1350,New Line Cinema,2013,27437881
1351,Warner Bros. Pictures,1997,3566637
1352,Warner Bros.,2006,5914908
1353,United Artists,1979,89460381
1354,New Line Cinema,2010,42045846
1355,Lionsgate,2016,14708696
1356,Universal Pictures,1985,128499205
1357,Paramount Pictures,2012,161772375
1358,United Artists,1979,210308099
1359,Fox Searchlight Pictures,2014,174600318
1360,Castle Rock Entertainment,2001,24185781
1361,Amblin Entertainment,1990,53208180
1362,New Line Cinema,2000,68106245
1363,New Line Cinema,2015,104384188
1364,Jersey Films,1995,115101622
1365,Miramax Films,2002,306776732
1366,Columbia Pictures,1999,234801895
1367,Universal Pictures,2001,287553595
1368,Pixar Animation Studios,1995,373554033
1369,Twentieth Century Fox Film Corporation,1994,350448145
1370,Spyglass Entertainment,2012,196114570
1371,Double Feature Films,2010,15134293
1372,Walt Disney Pictures,2000,136706683
1373,Paramount Pictures,1990,199200000
1374,Laura Ziskin Productions,2013,115922175
1375,Twentieth Century Fox Film Corporation,2004,167722310
1376,Paramount Pictures,1991,191502426
1377,O Entertainment,1995,212385533
1378,Walt Disney Pictures,2001,165335153
1379,Scott Rudin Productions,1996,116400000
1380,New Line Cinema,1995,327311859
1381,WingNut Films,2009,210819611
1382,Paramount Pictures,2004,140161792
1383,Village Roadshow Pictures,2003,156822020
1384,Lakeshore Entertainment,2004,216763646
1385,Spring Creek Productions,1999,176885658
1386,New Line Cinema,2004,115603229
1387,Spyglass Entertainment,2008,160259319
1388,Walt Disney Pictures,2009,155545279
1389,Columbia Pictures,1991,74787599
1390,Bedford Falls Productions,1994,160638883
1391,Paramount Pictures,2009,163670000
1392,New Line Cinema,2002,105834556
1393,Summit Entertainment,2013,116980662
1394,Endgame Entertainment,2012,47042000
1395,Universal Pictures,1995,254134910
1396,Columbia Pictures,2012,114281051
1397,Universal Pictures,2008,105173115
1398,Paramount Pictures,2005,92374674
1399,Relativity Media,2008,63833449
1400,Dune Entertainment,2009,114663461
1401,Paramount Pictures,2004,69631118
1402,Columbia Pictures,2004,96455697
1403,Gravier Productions,2011,151119219
1404,New Line Cinema,2001,83282296
1405,Bel Air Entertainment,1999,118880016
1406,Paramount Pictures,1989,70200000
1407,Paramount Pictures,1994,51132598
1408,Eon Productions,1985,152427960
1409,Aardman Animations,2005,192452832
1410,Wendy Finerman Productions,2007,156835339
1411,Alcon Entertainment,2005,93772522
1412,Universal Pictures,2007,129266061
1413,Paramount Pictures,1989,45892212
1414,Wessler Entertainment,2012,54819301
1415,Tim Burton Animation Company,2005,117195061
1416,Lionsgate,2015,84025816
1417,Escape Artists,2015,91709827
1418,Universal Pictures,2009,90810892
1419,Lakeshore Entertainment,2015,65663276
1420,Summit Entertainment,2010,159291809
1421,Imagine Entertainment,2002,51842679
1422,Mandate Pictures,2006,53653224
1423,Columbia Pictures,2007,75505973
1424,Lionsgate,2012,66486080
1425,Regency Enterprises,2008,84646831
1426,Universal Pictures,1988,38413606
1427,Keith Barish Productions,1987,38122105
1428,The Geffen Company,1986,38748395
1429,Focus Features,2011,63782078
1430,New Line Cinema,1997,51376861
1431,Universal Pictures,2011,36160375
1432,Screen Gems,2013,82394288
1433,New Line Cinema,2006,34742066
1434,Columbia Pictures,2006,41480851
1435,Focus Films,2009,48428063
1436,Di Bonaventura Pictures,2013,63372757
1437,Walt Disney Pictures,2011,14460000
1438,New Line Cinema,2003,39267515
1439,Twentieth Century Fox Film Corporation,1998,29202884
1440,Paramount Pictures,1995,24048000
1441,Universal Pictures,2011,108609310
1442,Revolution Studios,2004,22034832
1443,Universal Pictures,2012,53909751
1444,Touchstone Pictures,2004,21800302
1445,Lionsgate,2010,51148651
1446,Screen Gems,2006,31070211
1447,Rogue Pictures,2005,35294470
1448,Columbia Pictures Corporation,1998,19204929
1449,MetroGoldwynMayer (MGM),1996,17193231
1450,Bedford Falls Productions,2010,102820008
1451,TriStar Pictures,2007,16930884
1452,Warner Bros.,2005,25224242
1453,Cheyenne Enterprises,2004,26155781
1454,Lucasfilm,1986,37962774
1455,New Line Cinema,2008,31148328
1456,Lakeshore Entertainment,2005,15007991
1457,Epsilon Motion Pictures,2003,15368897
1458,Lakeshore Entertainment,2004,13001257
1459,Touchstone Pictures,2011,24922237
1460,New Line Cinema,2005,30536013
1461,Lions Gate Films,2004,30114487
