,production_companies,release_year,revenue
169,DreamWorks Animation,2013,282570682
170,Paramount Pictures,2011,245724603
171,DreamWorks Animation,2014,373552094
172,Universal Pictures,2007,442824138
173,DreamWorks Animation,2008,631744560
174,Marvel Studios,2015,519311965
175,Lionsgate,2013,847423452
176,Twentieth Century Fox Film Corporation,2015,368871007
177,Paramount Pictures,2005,591739379
178,Columbia Pictures Corporation,2003,273339556
179,DreamWorks,2011,554987477
180,Columbia Pictures,2010,293329073
181,Paramount Pictures,2014,362637473
182,Paramount Pictures,2011,371940071
183,1492 Pictures,2004,789804554
184,Bazmark Films,2008,49554002
185,Columbia Pictures,2013,243843127
186,Walt Disney Pictures,2000,354248063
187,Twentieth Century Fox Film Corporation,2014,349424282
188,DreamWorks Animation,2010,321887208
189,1492 Pictures,2001,976475550
190,Universal Pictures,2013,61648500
191,Walt Disney Pictures,2003,655011224
192,Lionsgate,2014,752100229
193,Columbia Pictures,2006,767820459
194,Blue Sky Studios,2014,500188435
195,Twentieth Century Fox Film Corporation,2003,407711549
196,Universal Pictures,2011,626137675
197,Village Roadshow Pictures,2011,334615000
198,The Zanuck Company,2010,232713139
199,TriStar Pictures,1990,261317921
200,Touchstone Pictures,1999,61698899
201,Universal Pictures,2012,276572938
202,PolyGram Filmed Entertainment,1997,238207122
203,Imagine Entertainment,2000,345141403
204,Lions Gate Films,2004,544272402
205,Paramount Pictures,2000,546388105
206,Warner Bros.,2000,325756637
207,Ingenious Film Partners,2007,289047763
208,Ingenious Film Partners,2012,609016565
209,Columbia Pictures Corporation,2007,228738393
210,The KennedyMarshall Company,2016,415484914
211,Columbia Pictures,2003,259175788
212,Twentieth Century Fox Film Corporation,2012,403170142
213,Columbia Pictures,2002,169956806
214,TriStar Pictures,2013,286140700
215,One Race Films,2004,115772733
216,Columbia Pictures,2014,242688965
217,Village Roadshow Pictures,2008,93945766
218,Columbia Pictures,2010,48668907
219,Tree Line Films,2010,261930431
220,Universal Pictures,2013,286168572
221,Lucasfilm,2005,850000000
222,Lucasfilm,2002,649398328
223,Walt Disney Pictures,2001,562816256
224,Twentieth Century Fox Film Corporation,2013,415440673
225,Lucasfilm,1999,924317558
226,DreamWorks Animation,2013,585178928
227,Lion Rock Productions,2002,77628265
228,Universal Pictures,2016,164602163
229,Paramount Pictures,2014,477200000
230,Warner Bros.,2013,716392705
231,Universal Pictures,1997,178127760
232,Paramount Pictures,2016,245623848
233,Twentieth Century Fox Film Corporation,2015,167977596
234,Ingenious Film Partners,2006,574480841
235,New Line Cinema,2015,470490832
236,Eon Productions,1997,333011068
237,Centropolis Entertainment,2000,215294342
238,Village Roadshow Pictures,2004,362744280
239,Weed Road Pictures,2005,478207520
240,Summit Entertainment,2015,295238201
241,Miramax Films,2004,102000000
242,Twentieth Century Fox Film Corporation,2010,237382724
243,Original Film,2011,227817248
244,Legendary Pictures,2014,337580051
245,Columbia Pictures,2011,563749323
246,Walt Disney Pictures,2004,103951461
247,Summit Entertainment,2016,179246868
248,DreamWorks SKG,2011,299268508
249,Columbia Pictures,2013,347434178
250,Twentieth Century Fox Film Corporation,1997,164508066
251,Summit Entertainment,2013,125537191
252,Ingenious Film Partners,2007,383531464
253,WingNut Films,2001,871368364
254,Studio Babelsberg,2004,72178895
255,Columbia Pictures Corporation,2001,87713825
256,Twentieth Century Fox Film Corporation,2004,347234916
257,Studio Babelsberg,2005,211643158
258,Columbia Pictures Corporation,1999,300135367
259,Walt Disney Pictures,2009,267045765
260,Twentieth Century Fox Film Corporation,2015,630161890
261,DreamWorks SKG,2005,162949164
262,New Line Cinema,2001,10372291
263,Jerry Bruckheimer Films,2000,237202299
264,DreamWorks SKG,2000,457640427
265,DreamWorks SKG,2002,358372926
266,1492 Pictures,2002,876688482
267,Eon Productions,2006,599045960
268,Twentieth Century Fox Film Corporation,2001,362211740
269,Lightstorm Entertainment,1991,520000000
270,Universal Pictures,2009,214104620
271,Imagine Entertainment,2007,266465037
272,Twentieth Century Fox Film Corporation,1994,378882411
273,Columbia Pictures,2009,150166126
274,Paramount Pictures,2010,310650585
275,Columbia Pictures,2010,170432927
276,Kopelson Entertainment,1996,242295562
277,Columbia Pictures,2012,425368238
278,Walt Disney Pictures,1996,100138851
279,Walt Disney Pictures,2000,169327687
280,Nu Image Films,2012,312573423
281,Walt Disney Pictures,2004,347451894
282,Ingenious Film Partners,2006,249288105
283,Village Roadshow Pictures,2009,100086793
284,Blue Sky Studios,2013,268426634
285,Columbia Pictures,2010,278731369
286,Beacon Communications,1999,211989043
287,Bedford Falls Productions,2006,170877916
288,Paramount Pictures,2013,392000694
289,Warner Bros.,1995,336529144
290,TriStar Pictures,1997,121214377
291,Anarchos Productions,2012,130482868
292,Village Roadshow Pictures,2010,140073390
293,Village Roadshow Pictures,2004,82102379
294,Paramount Pictures,2014,243400000
295,Walt Disney Pictures,2002,109578115
296,Universal Pictures,2009,68688831
297,DavisFilms,2014,206172544
298,Studio Babelsberg,2015,133718711
299,Imagine Entertainment,2015,93820758
300,Village Roadshow Pictures,2002,7103973
301,Universal Pictures,2010,94882889
302,Blue Sky Studios,2015,246233113
303,Jean Doumanian Productions,1997,13835130
304,Universal Pictures,2001,433013274
305,Miramax Films,2002,193772504
306,Columbia Pictures,2007,149044513
307,Paramount Pictures,2004,102000000
308,Jerry Bruckheimer Films,2001,172989651
309,Columbia Pictures,1997,263920180
310,New Line Cinema,2010,288347692
311,DreamWorks SKG,2000,76432727
312,Blue Sky Studios,2012,877244782
313,Walt Disney Pictures,2015,543514353
314,WingNut Films,2009,93525586
315,Pixar Animation Studios,2003,940335536
